Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,53.63,54.28,54.25,58.69,61.5,63.64,69.69,72.78,73.83,67.24,62.4,67.73,73.03,75.47,77.66,83.11,74.29,80.33,79.36,79.26,79.07,78.21,76.43,73.55,68.72,62.69,65.02,64.06,63.69,68.67,69.92,67.73,72.75,78.36,82,88.17,95.54,102.45,101.43,85.07,77.61,95.01,98.42,96.43,107.09,96.48,106.88,98.95,114.74,113.8,109.32,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0472247801569103,0.0548808382468439,0.075411547178488,0.0757781968577142,0.0879576283178685,0.103269170605473,0.109384617309593,0.125558824571005,0.117027031933627,0.0878369114689076,0.151798250865748,0.167425976156022,0.131634865480566,0.136979841475497,0.156257554330685,0.169446748232722,0.155191964275257,0.183427928736595,0.163630980551906,0.169006213110411,0.133543432684409,0.153029886017883,0.166305908254023,0.206086492258409,0.23881179716396,0.304391187526873,0.279035384786546,0.282405656928022,0.260374482048824,0.2475112843384,0.228187363382394,0.197712614839642,0.103278005102276,0.0906158517198149,0.0800799853539741,0.0721469767582564,0.065114798249087,0.0586065272553935,0.0541675582643256,0.0416473729442398,0.0379246102034633,0.0302322742475073,0.0161856118546458,0.0252227642484633,0.0305345647192465,0.0408577661548648,0.0522195885480874,0.0755688123563929,0.145284417689025,0.235439186259281,0.290025231521358,,,
Afghanistan,AFG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5157.63719178195,,,,,4612.64449610258,,,,,4049.16467407402,,,,,3617.33435830867,,,,,3731.84711631507,,,,,4261.91304124601,,,,,3413.72888085587,,,,,2478.80972551401,,,,,2123.60545779664,,,,,1789.42522181757,,,,1619.96984760258,,
Albania,ALB,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,30.23,31.03,29.36,33.45,31.37,35.55,37.33,38.12,39.05,40.23,42.36,43.35,46.53,47.66,48.07,53.04,55.75,57.94,59.21,57.92,60.01,62.34,67.93,62.73,61.69,61.37,63.99,62.1,69.47,68.72,58.16,63.26,72.26,79.28,85.16,86.01,81.72,83.99,82.63,86.41,89.32,89.83,95.19,99.76,97.97,102.27,103.9,108.17,112.65,119.11,127.28,,
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.25040013491233,1.36699527908082,1.4333708899761,1.17640254613026,1.10676129438693,1.16018176366455,1.32488364197755,1.35479702130111,1.51289677313584,1.55684585316992,1.75038172649776,1.98339232694246,2.50675736901018,2.29164770126317,1.83543688930808,1.89349960768024,1.99112641658783,2.24632129605669,2.49019032675648,2.84097302001219,1.89063747817006,2.62251848200204,2.55187887015687,2.60413411226164,2.60730777240052,2.56028662120321,2.54769948374958,2.28939951628658,2.19595712068634,2.63897570443966,2.1724021884126,1.14787082236558,0.692577704100372,0.685695348347224,0.56992696123086,0.621385121109946,0.603658797567107,0.463422424224413,0.527093427187129,0.899635647529597,0.914267940070464,0.980891845734924,1.14945017704397,1.32557784888181,1.29522911687313,1.33089705362423,1.21557768920544,1.28092786923974,1.30806295872025,1.23118318981589,1.35963859418445,,,
Albania,ALB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,15646.9853959531,,,,,13595.5952293107,,,,,11948.5457420535,,,,,10563.0332319308,,,,,9392.77950153322,,,,,8273.07418825457,,,,,7804.20893462974,,,,,8074.88449763262,,,,,8242.44177281747,,,,,8495.92984951782,,,,8529.16864702971,,
Algeria,DZA,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,38.27,39.81,39.83,35.51,41.23,27.61,30.32,38.99,35.98,37.35,38.79,35.07,33.48,36.16,39.37,37.02,30.58,30.34,34.26,37.09,38.16,34.74,36.67,39.3,48.05,48.74,49.23,47.49,51.82,50.73,59.45,64.93,62.44,57.78,64.81,76.37,62.82,69.83,73.66,69.78,74.41,76.2,88.41,97.92,99.06,103.01,93.26,95.96,119.29,123.87,135.15,,
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.546257558129688,0.524643337528599,0.478616839207465,0.447181451522865,0.454132245186618,0.516552314588174,0.642420904750409,0.625449993728039,0.652489928562916,0.789260329761138,1.02615109876178,1.23648396247185,1.82760278372232,2.40422892300092,1.94853179034864,1.90282558914014,2.26271503317138,2.35234429152402,3.41123071421538,2.41577433443569,3.41559349006049,2.30994067777093,1.89101554960839,2.4530105375971,3.21000359224672,3.18575265138055,3.24041063438239,3.47237905719155,3.37076344439581,3.12969493673044,3.00672191169201,3.0289194149566,2.98751987958955,2.92903564797518,3.00320904968078,3.23013629360041,3.23558736799556,2.90636555062295,3.47432043058445,2.94532031367526,2.77214755527437,2.62186033815406,2.78923206804217,2.8037402280647,2.67452294580508,3.15444315482424,3.01279370163004,3.20079799885136,3.20834736047712,3.424272074041,3.3315118493412,,,
Algeria,DZA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,949.773607741643,,,,,833.544683218567,,,,,725.250021080601,,,,,631.719530454384,,,,,541.736121250271,,,,,464.381946018757,,,,,408.56866918943,,,,,370.730836692374,,,,,345.378317738658,,,,,320.539824394893,,,,297.910953065599,,
American Samoa,ASM,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,70.23,70.93,79.37,81.53,84.49,86.01,80.56,78.89,83.17,80.57,73,71.8,70.62,68.42,67.28,65.86,64.77,60.75,54.17,60.68,57.48,57.33,56.11,54.15,53.04,54.06,45.7,48.1,48.37,52.87,47.28,47.49,49.86,50.09,51.2,55.8,55.86,84.92,69.45,74.98,80.53,83.33,96.24,92.8,105.07,102.13,93.84,102.95,103.36,109.29,99.51,,
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37449494158549,6.61810374334879,7.15205180215322,7.58701547046192,8.01104799950066,8.018180706127,7.71148529411765,7.42214436270746,7.07774678423648,7.14290412345054,7.08812774706672,6.67321714278735,6.6310215027309,6.74072453075567,6.57327197142094,6.63672070545651,,,
Andorra,ADO,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,20525.494276795,,,,,15205.9744639846,,,,,11735.8322177599,,,,,9631.05373981507,,,,,8069.13479239108,,,,,6512.85649428371,,,,,5357.87043324732,,,,,4924.32516773288,,,,,4405.42162788425,,,,,3882.30084141121,,,,4053.16894625313,,
Angola,AGO,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,29.49,30.55,30.97,32.38,33.22,33.85,34.76,35.05,37.28,39.12,39.18,37.66,39.9,39.03,37.64,37.26,36.29,36.39,35.49,35.5,34.73,35.28,35.92,36.34,36.84,38.2,38.76,38.61,38.63,38.73,40.38,42.68,42.72,48.44,47.01,50.09,50.33,58.03,55.11,63.87,73.27,83.25,88.75,87.17,105.62,107.21,120.9,127.99,162.45,171.58,188.67,,
